,count,mean,std,min,25%,50%,75%,max,mineral
C_ET_ss,15711.0,0.0030664898787403907,0.0013390131647599683,0.0,0.002396429,0.00324127,0.0041125065,0.00507019,with Portlandite
H2O_ET_ss,15711.0,0.3890835170702756,0.12445530285722081,0.0,0.3036679,0.3950537,0.48926925,0.5869462,with Portlandite
mCSHQ,15711.0,0.08260046902552351,0.015520370072401745,0.06101849,0.06961719499999999,0.07960068,0.093318265,0.1221489,with Portlandite
Ca_ss,15711.0,0.6549642202915154,0.12362219402512253,0.4775686,0.5515328500000001,0.6312479,0.7403664000000001,0.971046,with Portlandite
Si_ss,15711.0,0.4059740207052384,0.0763283745957739,0.3000005,0.34208775,0.3912033,0.45865705,0.5999235,with Portlandite
K_ss,15711.0,0.009498124257144675,0.0031504220548551607,0.003683374,0.007155107,0.00893646,0.011306150000000001,0.02283857,with Portlandite
H2O_ss,15711.0,1.1674393993316785,0.21958099033243794,0.8614528,0.9835376,1.12506,1.3190659999999998,1.725346,with Portlandite
V_s,15711.0,67.22232175482146,5.998402387943079,48.29359,63.159485000000004,67.73856,71.591555,83.41736,with Portlandite
Gel_water,15711.0,0.49572765561071863,0.09355755536731737,0.3614346,0.41746395000000003,0.477755,0.5603644999999999,0.7348651,with Portlandite
AltoSi,15711.0,0.12356656923421645,0.03742851350100963,0.05047006030613162,0.094698046901829,0.11899525243121467,0.14896060493398286,0.23104572568575238,with Portlandite
CatoCO2,15711.0,22.281303554076732,66.70576950135634,1.8294640318378643,4.298693430073218,7.236271782986602,15.431291437706491,1255.600102770624,with Portlandite
T,34289.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0,no Portlandite
CaO,34289.0,1.1154965667327716,0.1388477871526892,0.9000085,0.995291,1.100751,1.226909,1.399995,no Portlandite
SiO2,34289.0,0.4701714096736562,0.08350138080297662,0.3000318,0.4037355,0.4787905,0.542395,0.5999942,no Portlandite
Al2O3,34289.0,0.050714905385692205,0.011529726167407188,0.0300008,0.040836,0.05112703,0.06071418,0.06999874,no Portlandite
SO3,34289.0,0.035093758489019806,0.008635398022536345,0.02000021,0.02764211,0.03513772,0.04255845,0.04999967,no Portlandite
K2O,34289.0,0.00899999195631252,0.0017275139900922855,0.006000068,0.007505587,0.008997809,0.01049409,0.01199983,no Portlandite
CO2,34289.0,0.49427803232549805,0.1999039649575144,0.00104598,0.3478454,0.5184574,0.6625314,0.7999932,no Portlandite
H2O,34289.0,0.10007611646067252,0.02888345388411771,0.0500004,0.07516047,0.1000176,0.1250405,0.1499973,no Portlandite
pH,34289.0,12.432266831316166,0.7144708981506648,9.260772,12.31407,12.71304,12.87401,13.35975,no Portlandite
